Comparison,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
LC_vs_Healthy,GO:0034341,response to type II interferon,48,0.5975937728885722,1.746790746804928,7.816464888212614e-5,0.0017160702884134232,0.0013051877851529442,961,"tags=58%, list=23%, signal=46%",GBP1/LGALS9/GBP2/STAT1/TRIM21/PSMA4/CD47/PSMB8/RPL13A/CD74/CASP1/IFITM3/HCK/BST2/PSMA3/CDC37/PSMA2/PSMB9/SYNCRIP/SEC61A1/PSMA7/RAF1/PSMB2/SP100/PSMB1/EPRS1/PSMB10/PSMB4,0.5384340963099162
LC_vs_Healthy,GO:0002429,immune response-activating cell surface receptor signaling pathway,90,0.572386674015209,1.7467170509982743,5.301940539896598e-7,7.315307696987055e-5,5.563787401488197e-5,717,"tags=40%, list=17%, signal=34%",GBP1/PTPRC/ITGAM/MNDA/HLA-A/HLA-DPB1/HLA-DRB1/PTPN6/CSK/BAX/UBE2N/AP3B1/HMGB1/CD47/PRKCD/WDFY1/GRB2/RELA/MYO1G/RAP1A/HCK/LYN/SRC/YES1/NCK1/PAK2/NCKAP1L/PAK1/PLCG2/HLA-DRB3/KHDRBS1/FGR/CLEC2B/LCK/EIF2B4/CYBA,0.6594443980379349
LC_vs_Healthy,GO:0002703,regulation of leukocyte mediated immunity,67,0.5847721773273382,1.7399088426511382,4.4748240170931754e-6,1.9327797581521677e-4,1.470010027423384e-4,1182,"tags=60%, list=28%, signal=44%",ITGB2/PTPRC/ITGAM/LGALS9/HLA-A/HLA-C/SERPINB9/HLA-DRB1/VAMP8/CYRIB/ICAM1/HMGB1/RAC2/TFRC/HLA-B/HLA-E/HLA-G/GRB2/STX7/LYN/SERPINB4/BST2/NCKAP1L/PLCG2/HLA-DRB3/HLA-DRA/FGR/DDX21/C4BPA/RIGI/AP1G1/VAMP7/YWHAG/LAMP1/TP53BP1/PIK3C3/STXBP2/HLA-F/PRKAA1/BTK,0.610526878385931
LC_vs_Healthy,GO:0002274,myeloid leukocyte activation,59,0.589864668136147,1.7395956854682166,1.8994080596121314e-5,5.332588127361058e-4,4.055794762065426e-4,821,"tags=42%, list=19%, signal=35%",ITGB2/PTPRC/ITGAM/LGALS9/GRN/PTPN6/VAMP8/HMGB1/RAC2/CD74/PRKCD/LYN/SRC/FN1/ANXA3/MYO18A/PLCG2/FGR/CLU/ADAM10/DOCK2/VAMP2/C1QA/DYSF/VAMP7,0.5756102610711286
LC_vs_Healthy,GO:1903305,regulation of regulated secretory pathway,40,0.6090132147193079,1.7270730820515452,2.8267272930729867e-4,0.004232553000161285,0.0032191434774681486,1275,"tags=65%, list=30%, signal=46%",ITGB2/ITGAM/LGALS9/VAMP8/RAC2/RAB3D/RAP1B/RAP1A/RAB27A/LYN/NCKAP1L/FGR/CDK5/FMR1/RAB3GAP1/MICAL1/AP1G1/VAMP7/PRKCB/LAMP1/STXBP2/HLA-F/GNAI2/CALM3/RAB5A/GIT1,0.49849310876659025
LC_vs_Healthy,GO:0001909,leukocyte mediated cytotoxicity,44,0.6031807102413246,1.7245577114482045,1.00825390447353e-4,0.0020219091691495964,0.0015377989864871022,460,"tags=41%, list=11%, signal=37%",CORO1A/PTPRC/ITGAM/LGALS9/HLA-A/HLA-C/SERPINB9/HLA-DRB1/CYRIB/ICAM1/HLA-B/HLA-E/HLA-G/CTSC/GRB2/STX7/SERPINB4/NCKAP1L,0.5384340963099162
LC_vs_Healthy,GO:0022409,positive regulation of cell-cell adhesion,92,0.5609706640245375,1.7235712423189173,1.566455479937565e-6,1.1574621234970607e-4,8.803284082042239e-5,708,"tags=37%, list=17%, signal=31%",ITGB2/PTPRC/LGALS9/HLA-A/HLA-DPB1/HLA-DRB1/PTPN6/CSK/CYRIB/AP3B1/HMGB1/CD47/TFRC/FGG/HLA-E/HLA-G/SMARCC2/RELA/HLA-DRB5/LYN/SRC/YES1/NCK1/SART1/NCKAP1L/FGB/HSPH1/HLA-DRB3/HLA-DRA/LCK/FGA/CD44/NCK2/F11R,0.6435518361507222
LC_vs_Healthy,GO:0006334,nucleosome assembly,40,0.6071880956895566,1.721897309389081,3.095064422044203e-4,0.004513970579163169,0.0034331806233359667,703,"tags=48%, list=17%, signal=40%",SMARCA5/H2AX/SET/H1-2/H1-3/H1-4/H1-5/H1-1/HP1BP3/NPM1/DNAJC9/H1-10/NAP1L1/NAP1L4/HMGB2/SUPT16H/MACROH2A1/MACROH2A2/SSRP1,0.49849310876659025
LC_vs_Healthy,GO:1902652,secondary alcohol metabolic process,61,-0.35380060103826205,-1.7104767807134507,6.082318715632646e-4,0.006697295880169268,0.00509374752034993,484,"tags=38%, list=11%, signal=34%",APOE/GBA1/SULT2B1/MVD/CYB5R3/PMVK/MSMO1/APOL1/FDXR/NSDHL/TM7SF2/FDFT1/LIPE/MVK/FDPS/HMGCS2/DHCR24/APOB/CYP51A1/DHCR7/APOA1/APOA4/HMGCS1,0.47727081536286214
LC_vs_Healthy,GO:0006694,steroid biosynthetic process,58,-0.3615492663432722,-1.7086235903627645,7.483455251050561e-4,0.007891887361321851,0.0060023153220159255,393,"tags=29%, list=9%, signal=27%",MVD/CYB5R3/PMVK/MSMO1/CYB5R1/FDXR/NSDHL/TM7SF2/FDFT1/MVK/FDPS/HMGCS2/AKR1C3/DHCR24/CYP51A1/DHCR7/HMGCS1,0.47727081536286214
LC_vs_Healthy,GO:0002366,leukocyte activation involved in immune response,84,0.5629978230691215,1.706820708688715,5.889809113618495e-6,2.44972430910873e-4,1.8631814016178958e-4,1325,"tags=57%, list=31%, signal=40%",ITGB2/CORO1A/ITGAM/LGALS9/GRN/HLA-DRB1/PTPN6/VAMP8/PSMA4/ICAM1/HMGB1/RAC2/TFRC/PSMB8/CD74/DDRGK1/LYN/PSMA3/NCKAP1L/ANXA3/PSMA2/PSMB9/PLCG2/HLA-DRA/FGR/DOCK2/PSMA7/VAMP2/PSMB2/DYSF/AP1G1/VAMP7/PSMB1/PSMB10/LAMP1/PSMB4/TP53BP1/PSMA1/STXBP2/HLA-F/GNAI1/PSMA6/BTK/STAT5A/DOCK11/LCP1/PCYT1A/NBN,0.610526878385931
LC_vs_Healthy,GO:0006413,translational initiation,86,0.5612777533449039,1.7064227050283338,2.774101844355391e-6,1.4160528960050473e-4,1.0770042203253749e-4,1058,"tags=51%, list=25%, signal=39%",DNAJC3/RPS3A/YTHDF3/YTHDF2/YTHDF1/RPL13A/EIF4B/PML/NCBP2/ABCF1/EIF2S2/RPS17/EIF6/NCK1/EIF3H/EIF2AK2/SH3BGRL/LARP1/EIF3A/PAIP1/SYNCRIP/EIF2S3/EIF2A/KHDRBS1/EIF1AX/EIF1AY/MCTS1/FMR1/EIF4G2/NCK2/EIF2B4/EIF3CL/EIF3C/EIF4G1/EIF4G3/EIF3J/ABCE1/EIF5/EPRS1/CSDE1/DHX29/EIF3G/NCBP1/EIF2S1,0.6272567397185284
LC_vs_Healthy,GO:0042116,macrophage activation,23,0.645901609146307,1.6947883196734592,0.001634197148188907,0.013903056041031384,0.010574216594489155,792,"tags=48%, list=19%, signal=39%",ITGB2/PTPRC/ITGAM/GRN/HMGB1/CD74/MYO18A/PLCG2/CLU/C1QA/DYSF,0.45505986738722953
LC_vs_Healthy,GO:0051251,positive regulation of lymphocyte activation,81,0.5584283757938171,1.6930350576532922,1.3567592371241073e-5,4.1179476305145204e-4,3.131978324859983e-4,682,"tags=37%, list=16%, signal=32%",PTPRC/LGALS9/HLA-A/HLA-DPB1/HLA-DRB1/PTPN6/CSK/CYRIB/AP3B1/HMGB1/CD47/TFRC/HLA-E/HLA-G/MMP14/CD74/DDRGK1/SMARCC2/HLA-DRB5/LYN/SRC/YES1/NCK1/SART1/NCKAP1L/HSPH1/HLA-DRB3/HLA-DRA/LCK/NCK2,0.5933254763964051
LC_vs_Healthy,GO:0050777,negative regulation of immune response,76,0.5624603359700875,1.6921672662415095,8.572411226068607e-6,3.0083805646484516e-4,2.2880773547457e-4,684,"tags=38%, list=16%, signal=33%",PTPRC/LGALS9/HLA-A/IFI16/GRN/SERPINB9/HLA-DRB1/PTPN6/TRIM21/YTHDF3/YTHDF2/HLA-B/HLA-E/HLA-G/OAS3/GRB2/RPS19/PARP1/HCK/LYN/SRC/YES1/SERPINB4/SAMHD1/NCKAP1L/FGR/CLU/C4BPA/PRKAR1A,0.5933254763964051
LC_vs_Healthy,GO:0045055,regulated exocytosis,70,0.5649450841786328,1.6905694429744913,2.5850450248358462e-5,6.751175727652686e-4,5.134726796826e-4,1314,"tags=54%, list=31%, signal=38%",ITGB2/CORO1A/ITGAM/LGALS9/VAMP8/RAC2/RAB10/RAB3D/RAP1B/RAP1A/RAB27A/HCK/LYN/NCKAP1L/ANXA3/MYH9/FGR/CDK5/FMR1/RAB3GAP1/MICAL1/VAMP2/TMED10/PLEK/AP1G1/VAMP7/PRKCB/SYNGR2/LAMP1/STXBP2/HLA-F/GNAI1/GNAI2/BTK/CALM3/RAB5A/GIT1/NAPA,0.5756102610711286
LC_vs_Healthy,GO:0031640,killing of cells of another organism,29,0.6236435164583207,1.6846906981540453,4.22664547299979e-4,0.005718702248408149,0.004349460725440184,369,"tags=28%, list=9%, signal=25%",DEFA1/DEFA3/DEFA1B/GBP1/GBP2/H2BC12/RPS19/KRT6A,0.49849310876659025
LC_vs_Healthy,GO:0141061,disruption of cell in another organism,29,0.6236435164583207,1.6846906981540453,4.22664547299979e-4,0.005718702248408149,0.004349460725440184,369,"tags=28%, list=9%, signal=25%",DEFA1/DEFA3/DEFA1B/GBP1/GBP2/H2BC12/RPS19/KRT6A,0.49849310876659025
LC_vs_Healthy,GO:0046634,regulation of alpha-beta T cell activation,23,0.639583000995608,1.6782088544131823,0.00204576595623603,0.016647791078645374,0.012661773653639198,577,"tags=43%, list=14%, signal=38%",LGALS9/HLA-A/HLA-DRB1/AP3B1/HMGB1/HLA-E/NCKAP1L/HSPH1/HLA-DRB3/HLA-DRA,0.4317076958033464
